CustomerID,Age,Gender,SubscriptionType,MonthlyCharges,TenureMonths,HasSupportTickets,LastLoginDaysAgo,ContractRenewal,Churn
CUST1000,56,Female,Premium,80.02,10,0,78,Yes,0
CUST1001,69,Female,Standard,55.65,48,0,51,Yes,0
CUST1002,46,Female,Premium,87.57,55,0,9,Yes,0
CUST1003,32,Female,Standard,40.25,43,0,20,Yes,0
CUST1004,60,Male,Premium,92.83,50,0,36,Yes,0
CUST1005,25,Male,Basic,34.26,54,0,14,Yes,0
CUST1006,38,Female,Premium,80.99,14,1,86,Yes,0
CUST1007,56,Male,Basic,21.06,40,0,77,Yes,0
CUST1008,36,Female,Premium,92.65,55,0,78,Yes,0
CUST1009,40,Female,Premium,98.66,15,0,73,Yes,0
CUST1010,28,Male,Basic,24.8,17,0,8,No,1
CUST1011,28,Male,Basic,26.47,53,0,43,Yes,0
CUST1012,41,Female,Premium,75.51,18,1,38,Yes,0
CUST1013,53,Male,Basic,31.54,32,1,4,No,1
CUST1014,57,Female,Premium,74.65,38,0,24,Yes,0
CUST1015,41,Male,Basic,27.12,23,0,55,No,1
CUST1016,20,Female,Basic,33.94,46,1,89,Yes,0
CUST1017,39,Male,Premium,86.8,23,1,63,Yes,0
CUST1018,19,Female,Standard,51.59,35,0,71,Yes,0
CUST1019,41,Male,Premium,82.61,39,0,85,No,1
CUST1020,61,Female,Basic,31.24,15,0,51,Yes,0
CUST1021,47,Male,Standard,40.18,53,0,88,No,1
CUST1022,55,Female,Standard,42.36,24,0,75,Yes,0
CUST1023,19,Female,Standard,66.44,28,0,8,Yes,0
CUST1024,38,Male,Standard,42.34,16,0,9,Yes,0
CUST1025,50,Male,Standard,61.2,16,0,9,Yes,0
CUST1026,29,Male,Standard,67.6,40,1,72,Yes,0
CUST1027,39,Female,Basic,25.41,39,1,61,Yes,0
CUST1028,61,Female,Premium,81.11,6,0,89,Yes,0
CUST1029,42,Female,Basic,31.38,2,1,59,Yes,0
CUST1030,66,Male,Standard,66.45,54,0,18,Yes,0
CUST1031,44,Male,Basic,38.84,13,1,37,No,1
CUST1032,59,Female,Standard,62.19,44,0,5,Yes,0
CUST1033,45,Female,Standard,42.6,47,0,14,Yes,0
CUST1034,33,Female,Basic,33.38,59,0,46,Yes,0
CUST1035,32,Male,Basic,28.21,9,0,44,No,1
CUST1036,64,Female,Basic,29.41,34,1,4,Yes,0
CUST1037,68,Male,Standard,41.47,17,0,77,Yes,0
CUST1038,61,Male,Premium,75.73,27,0,52,Yes,0
CUST1039,69,Female,Basic,35.81,29,0,65,Yes,0
CUST1040,20,Female,Standard,53.62,37,0,61,Yes,0
CUST1041,54,Female,Basic,26.03,43,0,22,Yes,0
CUST1042,68,Male,Standard,51.52,22,0,43,Yes,0
CUST1043,24,Male,Premium,95.63,51,1,51,Yes,0
CUST1044,38,Female,Basic,34.98,24,1,45,Yes,0
CUST1045,26,Female,Standard,48.17,7,1,18,Yes,0
CUST1046,56,Male,Basic,22.35,34,0,87,Yes,0
CUST1047,35,Male,Basic,25.04,48,1,83,No,1
CUST1048,21,Male,Basic,38.42,12,0,46,No,1
CUST1049,42,Female,Basic,31.63,23,0,51,Yes,0
CUST1050,31,Male,Standard,56.0,15,0,23,Yes,0
CUST1051,67,Male,Standard,57.89,33,1,16,Yes,0
CUST1052,26,Male,Standard,50.98,57,1,88,Yes,0
CUST1053,43,Male,Basic,36.14,13,1,45,Yes,0
CUST1054,19,Male,Basic,30.47,23,1,63,Yes,0
CUST1055,37,Female,Standard,43.5,38,1,27,No,1
CUST1056,45,Male,Premium,73.87,32,1,49,No,1
CUST1057,64,Female,Basic,30.74,45,0,63,Yes,0
CUST1058,24,Male,Premium,98.1,50,0,27,Yes,0
CUST1059,61,Female,Standard,49.25,35,0,85,No,1
CUST1060,25,Female,Standard,66.09,1,0,55,No,1
CUST1061,64,Female,Standard,62.92,47,0,58,No,1
CUST1062,52,Female,Basic,24.96,58,0,4,Yes,0
CUST1063,31,Male,Basic,20.73,45,0,53,Yes,0
CUST1064,34,Male,Standard,43.06,5,1,43,No,1
CUST1065,53,Female,Basic,34.57,57,1,41,Yes,0
CUST1066,67,Female,Premium,75.99,13,0,71,Yes,0
CUST1067,57,Female,Standard,51.14,54,0,56,Yes,0
CUST1068,21,Female,Basic,30.03,5,0,46,No,1
CUST1069,19,Female,Standard,61.76,32,0,75,No,1
CUST1070,23,Male,Basic,22.26,51,1,24,Yes,0
CUST1071,59,Male,Standard,52.19,21,0,43,No,1
CUST1072,21,Female,Standard,54.55,24,0,14,Yes,0
CUST1073,46,Female,Premium,86.22,18,1,50,No,1
CUST1074,35,Male,Premium,94.55,21,1,52,Yes,0
CUST1075,43,Female,Standard,45.15,54,0,33,Yes,0
